[I 2023-06-28 04:59:29,792] Trial 19 finished with value: 21.020220588235293 and parameters: {'set_piece_duration': 155, 'long_ball_threshold': 204, 'long_ball_height_threshold': 3.054588548871823, 'long_ball_distance': 0.4671237374584548, 'prev_pass_multiplier': 0.11540398652049062, 'forward_threshold': 80, 'counter_attack_threshold': 26, 'forward_distance_threshold': 3.325924244804952, 'slope_threshold': 1.5784045573663552, 'counter_press_threshold': 27, 'counter_press_duration': 81, 'recovery_threshold': 80, 'transition_threshold': 34, 'r_opp': 7.149552621467685, 'r_high': 4.465336227609704, 'r_mid': 2.375732810064635, 'r_low': 1.6717963156711073, 'low_block_threshold': 33.20672212085061, 'mid_block_threshold': 36.69696576805314, 'high_block_threshold': 40.57356459423573, 'y_middle_down_press': -17.5}. Best is trial 6 with value: 16.341911764705884.
[I 2023-06-28 05:00:47,432] Trial 103 finished with value: 74.11948529411764 and parameters: {'set_piece_duration': 165, 'long_ball_threshold': 142, 'long_ball_height_threshold': 3.0322217329440195, 'long_ball_distance': 0.24122571136083468, 'prev_pass_multiplier': 0.1626617183270791, 'forward_threshold': 59, 'counter_attack_threshold': 150, 'forward_distance_threshold': 3.8010545083577627, 'slope_threshold': 0.7414639099694487, 'counter_press_threshold': 28, 'counter_press_duration': 45, 'recovery_threshold': 173, 'transition_threshold': 6, 'r_opp': 5.558383621288156, 'r_high': 5.289095108438924, 'r_mid': 2.9506193202936157, 'r_low': 1.584864019112796, 'low_block_threshold': 30.13254829547533, 'mid_block_threshold': 35.09694029200116, 'high_block_threshold': 41.09245651133393, 'y_middle_down_press': 0}. Best is trial 6 with value: 16.341911764705884.
[I 2023-06-28 05:01:17,785] Trial 38 finished with value: 87.79044117647058 and parameters: {'set_piece_duration': 90, 'long_ball_threshold': 220, 'long_ball_height_threshold': 2.0928059966434778, 'long_ball_distance': 0.3081510878239591, 'prev_pass_multiplier': 0.17602568501822413, 'forward_threshold': 65, 'counter_attack_threshold': 131, 'forward_distance_threshold': 3.7720957450253905, 'slope_threshold': 0.8283253305535917, 'counter_press_threshold': 26, 'counter_press_duration': 100, 'recovery_threshold': 155, 'transition_threshold': 12, 'r_opp': 7.658390133997347, 'r_high': 5.10149521742835, 'r_mid': 3.398046713685369, 'r_low': 1.3166456161646423, 'low_block_threshold': 33.58355350215083, 'mid_block_threshold': 37.062765783392145, 'high_block_threshold': 41.38321728029135, 'y_middle_down_press': 0}. Best is trial 6 with value: 16.341911764705884.
[I 2023-06-28 05:03:12,198] Trial 13 finished with value: 15.718750000000002 and parameters: {'set_piece_duration': 130, 'long_ball_threshold': 196, 'long_ball_height_threshold': 3.742613242225822, 'long_ball_distance': 0.45064035250352596, 'prev_pass_multiplier': 0.1296874869151387, 'forward_threshold': 31, 'counter_attack_threshold': 109, 'forward_distance_threshold': 1.9441092847919288, 'slope_threshold': 0.7416163997768892, 'counter_press_threshold': 50, 'counter_press_duration': 32, 'recovery_threshold': 152, 'transition_threshold': 46, 'r_opp': 5.465592338525593, 'r_high': 4.989497725360604, 'r_mid': 2.4590195243519575, 'r_low': 0.9163153257014303, 'low_block_threshold': 32.18865545823571, 'mid_block_threshold': 35.67300190370771, 'high_block_threshold': 42.058242913813835, 'y_middle_down_press': -17.5}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:09:03,287] Trial 95 finished with value: 83.00919117647058 and parameters: {'set_piece_duration': 102, 'long_ball_threshold': 145, 'long_ball_height_threshold': 4.823046477653174, 'long_ball_distance': 0.34212935798523925, 'prev_pass_multiplier': 0.1053051220646954, 'forward_threshold': 60, 'counter_attack_threshold': 79, 'forward_distance_threshold': 3.2534734685598363, 'slope_threshold': 1.053289517069894, 'counter_press_threshold': 31, 'counter_press_duration': 67, 'recovery_threshold': 108, 'transition_threshold': 7, 'r_opp': 6.382312114789078, 'r_high': 4.651838165409151, 'r_mid': 2.129941490622567, 'r_low': 1.167764354661454, 'low_block_threshold': 32.744080864983026, 'mid_block_threshold': 35.52909319160486, 'high_block_threshold': 39.04306928199035, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:09:03,379] Trial 125 finished with value: 77.07720588235294 and parameters: {'set_piece_duration': 225, 'long_ball_threshold': 82, 'long_ball_height_threshold': 5.404593006165237, 'long_ball_distance': 0.4154080465761619, 'prev_pass_multiplier': 0.17589424247113092, 'forward_threshold': 52, 'counter_attack_threshold': 129, 'forward_distance_threshold': 3.2163639278569685, 'slope_threshold': 1.161928202914456, 'counter_press_threshold': 37, 'counter_press_duration': 37, 'recovery_threshold': 112, 'transition_threshold': 25, 'r_opp': 6.109457823452704, 'r_high': 4.311123108287308, 'r_mid': 3.3398475710142517, 'r_low': 0.7159602177183018, 'low_block_threshold': 30.828812317022177, 'mid_block_threshold': 35.40269553469375, 'high_block_threshold': 40.11014765651258, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:11:12,932] Trial 56 finished with value: 92.08272058823529 and parameters: {'set_piece_duration': 208, 'long_ball_threshold': 137, 'long_ball_height_threshold': 5.009854066400678, 'long_ball_distance': 0.22816706099851564, 'prev_pass_multiplier': 0.1823326866489326, 'forward_threshold': 55, 'counter_attack_threshold': 60, 'forward_distance_threshold': 1.8610264504852307, 'slope_threshold': 1.6831436636106676, 'counter_press_threshold': 35, 'counter_press_duration': 55, 'recovery_threshold': 175, 'transition_threshold': 7, 'r_opp': 7.677023460107338, 'r_high': 4.465646432767208, 'r_mid': 1.9282519125280446, 'r_low': 0.8326930342059359, 'low_block_threshold': 31.625922149296795, 'mid_block_threshold': 35.545154337174644, 'high_block_threshold': 43.001362031603904, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:13:36,050] Trial 7 finished with value: 90.50183823529412 and parameters: {'set_piece_duration': 214, 'long_ball_threshold': 136, 'long_ball_height_threshold': 3.9823145417970776, 'long_ball_distance': 0.3565138796887261, 'prev_pass_multiplier': 0.10119018987945724, 'forward_threshold': 59, 'counter_attack_threshold': 59, 'forward_distance_threshold': 3.444207462270973, 'slope_threshold': 1.0062579263756586, 'counter_press_threshold': 18, 'counter_press_duration': 25, 'recovery_threshold': 134, 'transition_threshold': 17, 'r_opp': 5.666423055737297, 'r_high': 4.585808781599957, 'r_mid': 2.2160805166382107, 'r_low': 1.661229192850613, 'low_block_threshold': 33.670711618816846, 'mid_block_threshold': 37.06894702894694, 'high_block_threshold': 38.36599848605901, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:14:13,988] Trial 10 finished with value: 19.74816176470588 and parameters: {'set_piece_duration': 159, 'long_ball_threshold': 129, 'long_ball_height_threshold': 3.756548530667478, 'long_ball_distance': 0.36523688254646913, 'prev_pass_multiplier': 0.13147856843162725, 'forward_threshold': 30, 'counter_attack_threshold': 125, 'forward_distance_threshold': 3.2021425519731217, 'slope_threshold': 1.3676265722053502, 'counter_press_threshold': 27, 'counter_press_duration': 74, 'recovery_threshold': 78, 'transition_threshold': 42, 'r_opp': 6.7706213145562435, 'r_high': 5.216784032479531, 'r_mid': 1.9187721367403991, 'r_low': 1.6121824259795285, 'low_block_threshold': 34.513018343331055, 'mid_block_threshold': 36.65046335113993, 'high_block_threshold': 43.89596607608919, 'y_middle_down_press': -17.5}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:14:14,722] Trial 123 finished with value: 92.90992647058823 and parameters: {'set_piece_duration': 166, 'long_ball_threshold': 158, 'long_ball_height_threshold': 3.0732540410769893, 'long_ball_distance': 0.4319865010812127, 'prev_pass_multiplier': 0.16901490288190224, 'forward_threshold': 49, 'counter_attack_threshold': 137, 'forward_distance_threshold': 2.9191744240949795, 'slope_threshold': 0.5910199164634907, 'counter_press_threshold': 15, 'counter_press_duration': 29, 'recovery_threshold': 92, 'transition_threshold': 28, 'r_opp': 7.112441227425155, 'r_high': 4.55433421390599, 'r_mid': 3.0401499322362096, 'r_low': 0.7432023342133289, 'low_block_threshold': 31.32456947610717, 'mid_block_threshold': 35.72467252852299, 'high_block_threshold': 42.91239617421404, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
